Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.19     0.00       15     0.00     0.00  __gnu_cxx::__normal_iterator<EdgeChange*, std::vector<EdgeChange, std::allocator<EdgeChange> > >::difference_type __gnu_cxx::operator-<EdgeChange*, std::vector<EdgeChange, std::allocator<EdgeChange> > >(__gnu_cxx::__normal_iterator<EdgeChange*, std::vector<EdgeChange, std::allocator<EdgeChange> > > const&, __gnu_cxx::__normal_iterator<EdgeChange*, std::vector<EdgeChange, std::allocator<EdgeChange> > > const&)
  0.00      0.19     0.00       15     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::_M_check_len(unsigned long, char const*) const
  0.00      0.19     0.00       15     0.00     0.00  std::_Vector_base<EdgeChange, std::allocator<EdgeChange> >::_M_allocate(unsigned long)
  0.00      0.19     0.00       15     0.00     0.00  std::allocator_traits<std::allocator<EdgeChange> >::deallocate(std::allocator<EdgeChange>&, EdgeChange*, unsigned long)
  0.00      0.19     0.00       15     0.00     0.00  std::allocator_traits<std::allocator<EdgeChange> >::allocate(std::allocator<EdgeChange>&, unsigned long)
  0.00      0.19     0.00       15     0.00     0.00  void std::vector<EdgeChange, std::allocator<EdgeChange> >::_M_realloc_insert<EdgeChange>(__gnu_cxx::__normal_iterator<EdgeChange*, std::vector<EdgeChange, std::allocator<EdgeChange> > >, EdgeChange&&)
  0.00      0.19     0.00       15     0.00     0.00  std::vector<EdgeChange, std::allocator<EdgeChange> >::begin()
  0.00      0.19     0.00       14     0.00     0.00  std::vector<bool, std::allocator<bool> >::end() const
  0.00      0.19     0.00       14     0.00     0.00  std::vector<bool, std::allocator<bool> >::size() const
  0.00      0.19     0.00       14     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.19     0.00       13     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00      0.19     0.00       13     0.00     0.00  std::allocator<double>::~allocator()
  0.00      0.19     0.00       13     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      0.19     0.00       13     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.19     0.00       12     0.00     0.00  std::_Bit_iterator::_Bit_iterator()
  0.00      0.19     0.00       11     0.00     0.00  __gnu_cxx::new_allocator<double>::_M_max_size() const
  0.00      0.19     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.19     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >::__normal_iterator(PQNode* const&)
  0.00      0.19     0.00       10     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.19     0.00       10     0.00     0.00  int const& std::min<int>(int const&, int const&)
  0.00      0.19     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.19     0.00        9     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.19     0.00        9     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      0.19     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00      0.19     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >::base() const
  0.00      0.19     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.19     0.00        8     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      0.19     0.00        8     0.00     0.00  std::_Bit_iterator std::__niter_base<std::_Bit_iterator>(std::_Bit_iterator)
  0.00      0.19     0.00        7     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::_M_max_size() const
  0.00      0.19     0.00        7     0.00     0.00  std::vector<std::vector<Neighbor, std::allocator<Neighbor> >, std::allocator<std::vector<Neighbor, std::allocator<Neighbor> > > >::size() const
  0.00      0.19     0.00        7     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.19     0.00        7     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.19     0.00        7     0.00     0.00  unsigned long* std::__addressof<unsigned long>(unsigned long&)
  0.00      0.19     0.00        7     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.19     0.00        7     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.19     0.00        7     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.19     0.00        6     0.00     0.00  __gnu_cxx::__normal_iterator<PQNode const*, std::vector<PQNode, std::allocator<PQNode> > >::__normal_iterator(PQNode const* const&)
  0.00      0.19     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00      0.19     0.00        6     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_M_end_addr() const
  0.00      0.19     0.00        6     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const
